# Region type : patch inlet
# Faces  :   486
# Area   :   1.898118e-03
# Time       	sum(phi)
5e-05        	-2.836262e-02
0.0001       	-2.836262e-02
0.00015      	-2.836262e-02
0.0002       	-2.836262e-02
0.00025      	-2.836262e-02
0.0003       	-2.836262e-02
0.00035      	-2.836262e-02
0.0004       	-2.836262e-02
0.00045      	-2.836262e-02
0.0005       	-2.836262e-02
0.00055      	-2.836262e-02
0.0006       	-2.836262e-02
0.00065      	-2.836262e-02
0.0007       	-2.836262e-02
0.00075      	-2.836262e-02
0.0008       	-2.836262e-02
0.00085      	-2.836262e-02
0.0009       	-2.836262e-02
0.00095      	-2.836262e-02
0.001        	-2.836262e-02
0.00105      	-2.836262e-02
0.0011       	-2.836262e-02
0.00115      	-2.836262e-02
0.0012       	-2.836262e-02
0.00125      	-2.836262e-02
0.0013       	-2.836262e-02
0.00135      	-2.836262e-02
0.0014       	-2.836262e-02
